Descrição;Classificação;Origem / Destino;CFOP_ID;CFOP Descrição
Compra para industrialização ou produção rural;Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização ou produção rural.;Origem / Destino Dentro Estado;1101;1.101 - Compra para industrialização ou produção rural
Compra para comercialização;Classificam-se neste código as compras de mercadorias a serem comercializadas.;Origem / Destino Dentro Estado;1102;1.102 - Compra para comercialização
Compra para industrialização de mercadoria recebida anteriormente em consignação industrial;Classificam-se neste código as compras efetivas de mercadorias a serem utilizadas em processo de industrialização, recebidas anteriormente a título de consignação industrial.;Origem / Destino Dentro Estado;1111;1.111 - Compra para industrialização de mercadoria recebida anteriormente em consignação industrial
Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil;Classificam-se neste código as compras efetivas de mercadorias recebidas anteriormente a título de consignação mercantil.;Origem / Destino Dentro Estado;1113;1.113 - Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil
Compra para industrialização ou produção rural originada de encomenda para recebimento futuro;"Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização ou produção rural, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código ""1.922 - Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro"".";Origem / Destino Dentro Estado;1116;1.116 - Compra para industrialização ou produção rural originada de encomenda para recebimento futuro
Compra para comercialização originada de encomenda para recebimento futuro;Classificam-se neste código as compras de mercadorias a serem comercializadas, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código “1.922 - Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro”.;Origem / Destino Dentro Estado;1117;1.117 - Compra para comercialização originada de encomenda para recebimento futuro
Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem;Classificam-se neste código as compras de mercadorias já comercializadas, que, sem transitar pelo estabelecimento do adquirente originário, sejam entregues pelo vendedor remetente diretamente ao destinatário, em operação de venda à ordem, cuja venda seja classificada, pelo adquirente originário, no código “5.120 - Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem”.;Origem / Destino Dentro Estado;1118;1.118 - Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem
Compra para industrialização, em venda à ordem, já recebida do vendedor remetente;Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, em vendas à ordem, já recebidas do vendedor remetente, por ordem do adquirente originário.;Origem / Destino Dentro Estado;1120;1.120 - Compra para industrialização, em venda à ordem, já recebida do vendedor remetente
Compra para comercialização, em venda à ordem, já recebida do vendedor remetente;Classificam-se neste código as compras de mercadorias a serem comercializadas, em vendas à ordem, já recebidas do vendedor remetente por ordem do adquirente originário.;Origem / Destino Dentro Estado;1121;1.121 - Compra para comercialização, em venda à ordem, já recebida do vendedor remetente
Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente;Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, remetidas pelo fornecedor para o industrializador sem que a mercadoria tenha transitado pelo estabelecimento do adquirente.;Origem / Destino Dentro Estado;1122;1.122 - Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente
Industrialização efetuada por outra empresa;"Classificam-se neste código as entradas de mercadorias industrializadas por terceiros, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos ""1.551 - Compra de bem para o ativo imobilizado"" ou ""1.556 - Compra de material para uso ou consumo"".";Origem / Destino Dentro Estado;1124;1.124 - Industrialização efetuada por outra empresa
Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria;"Classificam-se neste código as entradas de mercadorias industrializadas por outras empresas, em que as mercadorias remetidas para utilização no processo de industrialização não transitaram pelo estabelecimento do adquirente das mercadorias, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos ""1.551 - Compra de bem para o ativo imobilizado"" ou ""1.556 - Compra de material para uso ou consumo"".";Origem / Destino Dentro Estado;1125;1.125 - Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria
Compra para utilização na prestação de serviço sujeita ao ICMS;Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ICMS.;Origem / Destino Dentro Estado;1126;1.126 - Compra para utilização na prestação de serviço sujeita ao ICMS
Compra para utilização na prestação de serviço sujeita ao ISSQN - Efeitos a partir de 01/01/2011;Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ISSQN.;Origem / Destino Dentro Estado;1128;1.128 - Compra para utilização na prestação de serviço sujeita ao ISSQN - Efeitos a partir de 01/01/2011
Entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, decorrente de operação de ato cooperativo - Efeitos a partir de 01/01/2018;"Classificam-se neste código as entradas de mercadorias com previsão de posterior ajuste ou fixação de preço, proveniente de cooperado, bem como proveniente de outra cooperativa, em que a saída tenha sido classificada no código ""5.131 - Remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço"" ou ""6.131 - Remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço"".";Origem / Destino Dentro Estado;1131;1.131 - Entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, decorrente de operação de ato cooperativo - Efeitos a partir de 01/01/2018
Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para comercialização - Efeitos a partir de 01/01/2018;"Classificam-se neste código as entradas para comercialização referentes a fixação de preço de produção do estabelecimento do produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo cuja saída tenha sido classificada sob o código ""5.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo"" ou ""6.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo"".";Origem / Destino Dentro Estado;1132;1.132 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para comercialização - Efeitos a partir de 01/01/2018
Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para industrialização - Efeitos a partir de 01/01/2018;"Classificam-se neste código as entradas para industrialização referentes a fixação de preço de produção do estabelecimento do produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo cuja saída tenha sido classificada sob o código ""5.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo"" ou ""6.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço ou fixação de preço de ato cooperativo"", conforme a operação seja dentro ou fora do Estado respectivamente.";Origem / Destino Dentro Estado;1135;1.135 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para industrialização - Efeitos a partir de 01/01/2018
Transferência para industrialização ou produção rural;Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas em processo de industrialização ou produção rural.;Origem / Destino Dentro Estado;1151;1.151 - Transferência para industrialização ou produção rural
Transferência para comercialização;Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.;Origem / Destino Dentro Estado;1152;1.152 - Transferência para comercialização
Transferência de energia elétrica para distribuição;Classificam-se neste código as entradas de energia elétrica recebida em transferência de outro estabelecimento da mesma empresa, para distribuição.;Origem / Destino Dentro Estado;1153;1.153 - Transferência de energia elétrica para distribuição
Transferência para utilização na prestação de serviço;Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas nas prestações de serviços.;Origem / Destino Dentro Estado;1154;1.154 - Transferência para utilização na prestação de serviço
Entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo - Efeitos a partir de 01/09/2018;Classificam-se neste código as entradas decorrentes de fornecimento de produtos ou mercadorias por estabelecimento de cooperativa destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujo fornecimento tenha sido classificado nos códigos 5.159 ou 6.159 - Fornecimento de produção do estabelecimento de ato cooperativo, 5.160 ou 6.160 - Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo.;Origem / Destino Dentro Estado;1159;1.159 - Entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo - Efeitos a partir de 01/09/2018
Devolução de venda de produção do estabelecimento;"Classificam-se neste código as devoluções de vendas de produtos industrializados ou produzidos pelo próprio estabelecimento, cujas saídas tenham sido classificadas como ""Venda de produção do estabelecimento"".";Origem / Destino Dentro Estado;1201;1.201 - Devolução de venda de produção do estabelecimento
Devolução de venda de mercadoria adquirida ou recebida de terceiros;"Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de industrialização no estabelecimento, cujas saídas tenham sido classificadas como ""Venda de mercadoria adquirida ou recebida de terceiros"".";Origem / Destino Dentro Estado;1202;1.202 - Devolução de venda de mercadoria adquirida ou recebida de terceiros
Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio;"Classificam-se neste código as devoluções de vendas de produtos industrializados ou produzidos pelo próprio estabelecimento, cujas saídas foram classificadas no código ""5.109 - Venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio"" ou ""6.109 - Venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio"".";Origem / Destino Dentro Estado;1203;1.203 - Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio;"Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas foram classificadas no código ""5.110 - Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio"" ou ""6.110 - Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio"".";Origem / Destino Dentro Estado;1204;1.204 - Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
Anulação de valor relativo à prestação de serviço de comunicação;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de comunicação.;Origem / Destino Dentro Estado;1205;1.205 - Anulação de valor relativo à prestação de serviço de comunicação
Anulação de valor relativo à prestação de serviço de transporte;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de transporte.;Origem / Destino Dentro Estado;1206;1.206 - Anulação de valor relativo à prestação de serviço de transporte
Anulação de valor relativo à venda de energia elétrica;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de venda de energia elétrica.;Origem / Destino Dentro Estado;1207;1.207 - Anulação de valor relativo à venda de energia elétrica
Devolução de produção do estabelecimento, remetida em transferência;Classificam-se neste código as devoluções de produtos industrializados ou produzidos pelo próprio estabelecimento, transferidos para outros estabelecimentos da mesma empresa.;Origem / Destino Dentro Estado;1208;1.208 - Devolução de produção do estabelecimento, remetida em transferência
Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência;Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros, transferidas para outros estabelecimentos da mesma empresa.;Origem / Destino Dentro Estado;1209;1.209 - Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência
Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped) - Efeitos a partir de 01/04/2016;Classificam-se neste código as devoluções de vendas de produtos industrializados e insumos importados pelo estabelecimento.;Origem / Destino Dentro Estado;1212;1.212 - Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped) - Efeitos a partir de 01/04/2016
Devolução de remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço, em ato cooperativo - Efeitos a partir de 01/01/2018;"Classificam-se neste código as devoluções de remessa que tenham sido classificadas no código ""5.131 - Remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço de ato cooperativo"" ou ""6.131 - Remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço de ato cooperativo"".";Origem / Destino Dentro Estado;1213;1.213 - Devolução de remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço, em ato cooperativo - Efeitos a partir de 01/01/2018
Devolução de fixação de preço de produção do estabelecimento produtor, de ato cooperativo - Efeitos a partir de 01/01/2018;"Classificam-se neste código as devoluções de fixação de preço de produção do estabelecimento produtor cuja saída tenha sido classificada no código ""5.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo"" ou ""6.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo"", conforme a operação seja dentro ou fora do Estado respectivamente.";Origem / Destino Dentro Estado;1214;1.214 - Devolução de fixação de preço de produção do estabelecimento produtor, de ato cooperativo - Efeitos a partir de 01/01/2018
